"No.","Time","Source","Destination","Protocol","Length","Info"
"63","3.170184","142.250.189.14","100.64.11.41","UDP","301","443  >  65191 Len=259"
"64","3.170675","100.64.11.41","142.250.189.14","UDP","79","65191  >  443 Len=37"
"65","3.170968","100.64.11.41","142.250.189.14","UDP","73","65191  >  443 Len=31"
"66","3.171037","100.64.11.41","142.250.189.14","UDP","80","65191  >  443 Len=38"
"67","3.172718","142.250.189.14","100.64.11.41","UDP","65","443  >  65191 Len=23"
"68","3.177099","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"69","3.177394","100.64.11.41","142.250.189.14","UDP","74","65191  >  443 Len=32"
"70","3.294046","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"71","3.299180","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"72","3.388748","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"73","3.404602","100.64.11.41","142.250.176.14","TCP","54","60705  >  80 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
"74","3.410290","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"75","3.419664","100.64.11.41","142.250.217.142","TCP","54","60704  >  80 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
"76","3.624482","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"77","3.629579","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"78","3.737692","100.64.7.129","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"79","3.738081","fe80::ebc5:38a:f461:6598","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"80","3.814724","100.64.11.41","52.108.0.40","TCP","66","61002  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"81","3.842376","52.108.0.40","100.64.11.41","TCP","66","443  >  61002 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"82","3.842416","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"83","3.842590","100.64.11.41","52.108.0.40","TCP","54","61002  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"84","3.842990","100.64.11.41","52.108.0.40","TLSv1.2","571","Client Hello (SNI=pus3-collabhubrtc.officeapps.live.com)"
"85","3.847761","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"86","3.856837","52.108.0.40","100.64.11.41","TCP","1514","443  >  61002 [ACK] Seq=1 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"87","3.856837","52.108.0.40","100.64.11.41","TCP","1514","443  >  61002 [ACK] Seq=1461 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"88","3.856837","52.108.0.40","100.64.11.41","TCP","1514","443  >  61002 [ACK] Seq=2921 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"89","3.856837","52.108.0.40","100.64.11.41","TLSv1.2","112","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"90","3.856939","100.64.11.41","52.108.0.40","TCP","54","61002  >  443 [ACK] Seq=518 Ack=4439 Win=132352 Len=0"
"91","3.858992","100.64.11.41","1.1.1.1","DNS","109","Standard query 0xd599 A hextmd235-hx-agent-1.hex01.helix.apps.fireeye.com"
"92","3.867356","1.1.1.1","100.64.11.41","DNS","125","Standard query response 0xd599 A hextmd235-hx-agent-1.hex01.helix.apps.fireeye.com A 52.73.117.23"
"93","3.868034","100.64.11.41","52.73.117.23","TCP","66","61003  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"94","3.880015","100.64.11.41","52.108.0.40","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"95","3.913979","52.108.0.40","100.64.11.41","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"96","3.914246","100.64.11.41","52.108.0.40","TLSv1.2","2699","Application Data"
"97","3.927503","52.108.0.40","100.64.11.41","TCP","56","443  >  61002 [ACK] Seq=4490 Ack=3321 Win=525568 Len=0"
"98","3.930862","52.73.117.23","100.64.11.41","TCP","66","80  >  61003 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=128"
"99","3.930950","100.64.11.41","52.73.117.23","TCP","54","61003  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"100","3.931337","100.64.11.41","52.73.117.23","HTTP","209","GET /fpoll?id=EJbG3oO7djedDzUh4EjzAv&b=507d2230 HTTP/1.1 "
"101","3.939768","52.108.0.40","100.64.11.41","TLSv1.2","689","Application Data"
"102","3.939768","52.108.0.40","100.64.11.41","TLSv1.2","88","Application Data"
"103","3.939853","100.64.11.41","52.108.0.40","TCP","54","61002  >  443 [ACK] Seq=3321 Ack=5159 Win=131584 Len=0"
"104","3.940120","100.64.11.41","52.108.0.40","TLSv1.2","85","Encrypted Alert"
"105","3.940378","100.64.11.41","52.108.0.40","TCP","54","61002  >  443 [FIN, ACK] Seq=3352 Ack=5159 Win=131584 Len=0"
"106","3.952937","52.108.0.40","100.64.11.41","TCP","56","443  >  61002 [ACK] Seq=5159 Ack=3353 Win=525568 Len=0"
"107","3.952937","52.108.0.40","100.64.11.41","TCP","56","443  >  61002 [FIN, ACK] Seq=5159 Ack=3353 Win=525568 Len=0"
"108","3.952994","100.64.11.41","52.108.0.40","TCP","54","61002  >  443 [ACK] Seq=3353 Ack=5160 Win=131584 Len=0"
"109","3.995097","52.73.117.23","100.64.11.41","TCP","56","80  >  61003 [ACK] Seq=1 Ack=156 Win=30336 Len=0"
"110","4.013304","100.64.7.129","224.0.0.251","MDNS","83","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"111","4.013831","fe80::ebc5:38a:f461:6598","ff02::fb","MDNS","103","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"112","4.018129","100.64.7.129","224.0.0.251","MDNS","313","Standard query response 0x0000 PTR crumbBandit::DESKTOP-KMECRIE._oculusal_sp._tcp.local SRV 0 0 49790 DESKTOP-KMECRIE.local TXT A 100.64.7.129 AAAA fe80::ebc5:38a:f461:6598"
"113","4.018767","fe80::ebc5:38a:f461:6598","ff02::fb","MDNS","333","Standard query response 0x0000 PTR crumbBandit::DESKTOP-KMECRIE._oculusal_sp._tcp.local SRV 0 0 49790 DESKTOP-KMECRIE.local TXT A 100.64.7.129 AAAA fe80::ebc5:38a:f461:6598"
"114","4.035747","52.73.117.23","100.64.11.41","HTTP","225","HTTP/1.1 200 OK "
"115","4.036340","100.64.11.41","52.73.117.23","TCP","54","61003  >  80 [FIN, ACK] Seq=156 Ack=172 Win=131072 Len=0"
"116","4.052708","100.64.11.41","13.107.136.10","TLSv1.2","2107","Application Data"
"117","4.052890","100.64.11.41","13.107.136.10","TLSv1.2","305","Application Data"
"118","4.058291","13.107.136.10","100.64.11.41","TCP","56","443  >  60983 [ACK] Seq=1 Ack=1441 Win=16385 Len=0"
"119","4.058291","13.107.136.10","100.64.11.41","TCP","56","443  >  60983 [ACK] Seq=1 Ack=2054 Win=16382 Len=0"
"120","4.058291","13.107.136.10","100.64.11.41","TCP","56","443  >  60983 [ACK] Seq=1 Ack=2305 Win=16381 Len=0"
"121","4.064053","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"122","4.079029","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"123","4.099602","13.107.136.10","100.64.11.41","TCP","1514","443  >  60983 [ACK] Seq=1 Ack=2305 Win=16381 Len=1460 [TCP segment of a reassembled PDU]"
"124","4.099602","13.107.136.10","100.64.11.41","TLSv1.2","547","Application Data"
"125","4.099602","52.73.117.23","100.64.11.41","TCP","56","80  >  61003 [FIN, ACK] Seq=172 Ack=157 Win=30336 Len=0"
"126","4.099689","100.64.11.41","52.73.117.23","TCP","54","61003  >  80 [ACK] Seq=157 Ack=173 Win=131072 Len=0"
"127","4.099760","100.64.11.41","13.107.136.10","TCP","54","60983  >  443 [ACK] Seq=2305 Ack=1954 Win=517 Len=0"
"128","4.155396","100.64.7.129","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"129","4.293869","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"130","4.299288","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"131","4.514073","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"132","4.520070","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"133","4.909749","100.64.11.41","172.217.12.142","UDP","71","52859  >  443 Len=29"
"134","4.916480","172.217.12.142","100.64.11.41","UDP","68","443  >  52859 Len=26"
"135","4.924797","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"136","4.930812","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"137","5.019647","100.64.7.129","224.0.0.251","MDNS","83","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"138","5.020753","100.64.7.129","224.0.0.251","MDNS","313","Standard query response 0x0000 PTR crumbBandit::DESKTOP-KMECRIE._oculusal_sp._tcp.local SRV 0 0 49790 DESKTOP-KMECRIE.local TXT A 100.64.7.129 AAAA fe80::ebc5:38a:f461:6598"
"139","5.020963","fe80::ebc5:38a:f461:6598","ff02::fb","MDNS","103","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"140","5.021235","fe80::ebc5:38a:f461:6598","ff02::fb","MDNS","333","Standard query response 0x0000 PTR crumbBandit::DESKTOP-KMECRIE._oculusal_sp._tcp.local SRV 0 0 49790 DESKTOP-KMECRIE.local TXT A 100.64.7.129 AAAA fe80::ebc5:38a:f461:6598"
"141","5.159007","100.64.7.129","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"142","5.745840","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"143","5.750915","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"144","5.909647","13.107.42.14","100.64.11.41","TLSv1.2","100","Application Data"
"145","5.918365","100.64.11.41","13.107.42.14","TLSv1.2","96","Application Data"
"146","5.918481","100.64.11.41","13.107.42.14","TLSv1.2","96","Application Data"
"147","5.923438","13.107.42.14","100.64.11.41","TCP","56","443  >  60911 [ACK] Seq=47 Ack=43 Win=16383 Len=0"
"148","5.923438","13.107.42.14","100.64.11.41","TCP","56","443  >  60911 [ACK] Seq=47 Ack=85 Win=16383 Len=0"
"149","5.954046","100.64.11.41","52.108.0.40","TCP","66","61004  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"150","5.967350","52.108.0.40","100.64.11.41","TCP","66","443  >  61004 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"151","5.967420","100.64.11.41","52.108.0.40","TCP","54","61004  >  443 [ACK] Seq=1 Ack=1 Win=132352 Len=0"
"152","5.967553","100.64.11.41","52.108.0.40","TLSv1.2","571","Client Hello (SNI=pus3-collabhubrtc.officeapps.live.com)"
"153","5.981344","52.108.0.40","100.64.11.41","TCP","1514","443  >  61004 [ACK] Seq=1 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"154","5.981344","52.108.0.40","100.64.11.41","TCP","1514","[TCP Previous segment not captured] 443  >  61004 [ACK] Seq=2921 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"155","5.981344","52.108.0.40","100.64.11.41","TCP","1514","[TCP Out-Of-Order] 443  >  61004 [ACK] Seq=1461 Ack=518 Win=525056 Len=1460 [TCP segment of a reassembled PDU]"
"156","5.981344","52.108.0.40","100.64.11.41","TLSv1.2","112","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"157","5.981425","100.64.11.41","52.108.0.40","TCP","66","61004  >  443 [ACK] Seq=518 Ack=1461 Win=132352 Len=0 SLE=2921 SRE=4381"
"158","5.981485","100.64.11.41","52.108.0.40","TCP","54","61004  >  443 [ACK] Seq=518 Ack=4381 Win=132352 Len=0"
"159","5.981518","100.64.11.41","52.108.0.40","TCP","54","61004  >  443 [ACK] Seq=518 Ack=4439 Win=132352 Len=0"
"160","5.999306","100.64.11.41","52.108.0.40","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"161","6.013319","52.108.0.40","100.64.11.41","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"162","6.013773","100.64.11.41","52.108.0.40","TLSv1.2","2699","Application Data"
"163","6.029975","52.108.0.40","100.64.11.41","TCP","56","443  >  61004 [ACK] Seq=4490 Ack=3321 Win=525568 Len=0"
"164","6.034915","52.108.0.40","100.64.11.41","TLSv1.2","689","Application Data"
"165","6.034915","52.108.0.40","100.64.11.41","TLSv1.2","88","Application Data"
"166","6.034979","100.64.11.41","52.108.0.40","TCP","54","61004  >  443 [ACK] Seq=3321 Ack=5159 Win=131584 Len=0"
"167","6.035217","100.64.11.41","52.108.0.40","TLSv1.2","85","Encrypted Alert"
"168","6.035450","100.64.11.41","52.108.0.40","TCP","54","61004  >  443 [FIN, ACK] Seq=3352 Ack=5159 Win=131584 Len=0"
"169","6.048625","52.108.0.40","100.64.11.41","TCP","56","443  >  61004 [ACK] Seq=5159 Ack=3353 Win=525568 Len=0"
"170","6.048625","52.108.0.40","100.64.11.41","TCP","56","443  >  61004 [FIN, ACK] Seq=5159 Ack=3353 Win=525568 Len=0"
"171","6.048678","100.64.11.41","52.108.0.40","TCP","54","61004  >  443 [ACK] Seq=3353 Ack=5160 Win=131584 Len=0"
"172","6.162304","100.64.7.129","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"173","6.162455","20.65.133.230","100.64.11.41","TLSv1.2","78","Application Data"
"174","6.162715","100.64.11.41","20.65.133.230","TLSv1.2","82","Application Data"
"175","6.197419","20.65.133.230","100.64.11.41","TCP","56","443  >  60924 [ACK] Seq=25 Ack=29 Win=501 Len=0"
"176","6.395113","fe80::f0ef:3ed6:9e47:8431","ff02::1:2","DHCPv6","158","Solicit XID: 0xb0b974 CID: 000100012d004f198c8caaf9ea9a "
"177","7.029662","100.64.7.129","224.0.0.251","MDNS","83","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"178","7.030353","100.64.7.129","224.0.0.251","MDNS","313","Standard query response 0x0000 PTR crumbBandit::DESKTOP-KMECRIE._oculusal_sp._tcp.local SRV 0 0 49790 DESKTOP-KMECRIE.local TXT A 100.64.7.129 AAAA fe80::ebc5:38a:f461:6598"
"179","7.030598","fe80::ebc5:38a:f461:6598","ff02::fb","MDNS","103","Standard query 0x0000 PTR _oculusal_sp._tcp.local, ""QM"" question"
"180","7.030838","fe80::ebc5:38a:f461:6598","ff02::fb","MDNS","333","Standard query response 0x0000 PTR crumbBandit::DESKTOP-KMECRIE._oculusal_sp._tcp.local SRV 0 0 49790 DESKTOP-KMECRIE.local TXT A 100.64.7.129 AAAA fe80::ebc5:38a:f461:6598"
"181","7.169082","100.64.7.129","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"182","7.361653","100.64.11.41","142.250.189.14","UDP","71","65191  >  443 Len=29"
"183","7.367020","142.250.189.14","100.64.11.41","UDP","68","443  >  65191 Len=26"
"184","7.712260","100.64.11.41","142.250.188.227","QUIC","1292","Initial, DCID=5b53107753ef762f, PKN: 1, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO"
"185","7.712522","100.64.11.41","142.250.188.227","QUIC","121","0-RTT, DCID=5b53107753ef762f"
"186","7.712762","100.64.11.41","142.250.188.227","QUIC","818","0-RTT, DCID=5b53107753ef762f"
"187","7.712890","100.64.11.41","142.250.188.227","QUIC","164","0-RTT, DCID=5b53107753ef762f"
"188","7.726440","142.250.188.227","100.64.11.41","QUIC","1292","Handshake, SCID=fb53107753ef762f"
"189","7.726585","142.250.188.227","100.64.11.41","QUIC","846","Protected Payload (KP0)"
"190","7.727051","100.64.11.41","142.250.188.227","QUIC","120","Handshake, DCID=fb53107753ef762f"
"191","7.727095","142.250.188.227","100.64.11.41","QUIC","204","Protected Payload (KP0)"
"192","7.727177","100.64.11.41","142.250.188.227","QUIC","73","Protected Payload (KP0), DCID=fb53107753ef762f"
"193","7.727296","142.250.188.227","100.64.11.41","QUIC","66","Protected Payload (KP0)"
"194","7.729185","142.250.188.227","100.64.11.41","QUIC","65","Protected Payload (KP0)"
"195","7.729366","100.64.11.41","142.250.188.227","QUIC","73","Protected Payload (KP0), DCID=fb53107753ef762f"
"196","7.731159","142.250.188.227","100.64.11.41","QUIC","162","Protected Payload (KP0)"
"197","7.735171","142.250.188.227","100.64.11.41","QUIC","559","Protected Payload (KP0)"
"198","7.735279","142.250.188.227","100.64.11.41","QUIC","64","Protected Payload (KP0)"
"199","7.735437","100.64.11.41","142.250.188.227","QUIC","77","Protected Payload (KP0), DCID=fb53107753ef762f"
"200","7.737112","142.250.188.227","100.64.11.41","QUIC","129","Protected Payload (KP0)"
"201","7.737338","100.64.11.41","142.250.188.227","QUIC","77","Protected Payload (KP0), DCID=fb53107753ef762f"
"202","7.737533","142.250.188.227","100.64.11.41","QUIC","64","Protected Payload (KP0)"
"203","7.740660","142.250.188.227","100.64.11.41","QUIC","67","Protected Payload (KP0)"
"204","7.741209","142.250.188.227","100.64.11.41","QUIC","67","Protected Payload (KP0)"
"205","7.753970","172.217.14.106","100.64.11.41","UDP","200","443  >  63588 Len=158"
"206","7.754366","172.217.14.106","100.64.11.41","UDP","64","443  >  63588 Len=22"
"207","7.754501","100.64.11.41","172.217.14.106","UDP","74","63588  >  443 Len=32"
"208","7.764156","100.64.11.41","142.250.188.227","QUIC","74","Protected Payload (KP0), DCID=fb53107753ef762f"
"209","7.773872","100.64.11.41","1.1.1.1","DNS","85","Standard query 0x0b68 A chrome.cloudflare-dns.com"
"210","7.774084","100.64.11.41","1.1.1.1","DNS","85","Standard query 0x4f44 HTTPS chrome.cloudflare-dns.com"
"211","7.788593","1.1.1.1","100.64.11.41","DNS","117","Standard query response 0x0b68 A chrome.cloudflare-dns.com A 162.159.61.3 A 172.64.41.3"
"212","7.788593","1.1.1.1","100.64.11.41","DNS","158","Standard query response 0x4f44 HTTPS chrome.cloudflare-dns.com HTTPS"
"213","7.790211","100.64.11.41","162.159.61.3","QUIC","1292","Initial, DCID=5c4c4638b2f1a645, PKN: 1, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING"
"214","7.790453","100.64.11.41","162.159.61.3","QUIC","121","0-RTT, DCID=5c4c4638b2f1a645"
"215","7.790664","100.64.11.41","162.159.61.3","QUIC","288","0-RTT, DCID=5c4c4638b2f1a645"
"216","7.790787","100.64.11.41","162.159.61.3","QUIC","288","0-RTT, DCID=5c4c4638b2f1a645"
"217","7.801096","162.159.61.3","100.64.11.41","QUIC","1242","Handshake, SCID=01390675eaf82ee2603b6c75a5f83f47bcc51cf5"
"218","7.801641","100.64.11.41","162.159.61.3","QUIC","132","Handshake, DCID=01390675eaf82ee2603b6c75a5f83f47bcc51cf5"
"219","7.803651","162.159.61.3","100.64.11.41","QUIC","66","Protected Payload (KP0)"
"220","7.803651","162.159.61.3","100.64.11.41","QUIC","94","Protected Payload (KP0)"
"221","7.803651","162.159.61.3","100.64.11.41","QUIC","66","Protected Payload (KP0)"
"222","7.803651","162.159.61.3","100.64.11.41","QUIC","91","Protected Payload (KP0)"
"223","7.803651","162.159.61.3","100.64.11.41","QUIC","659","Protected Payload (KP0)"
"224","7.803900","100.64.11.41","162.159.61.3","QUIC","87","Protected Payload (KP0), DCID=01390675eaf82ee2603b6c75a5f83f47bcc51cf5"
"225","7.804084","100.64.11.41","162.159.61.3","QUIC","85","Protected Payload (KP0), DCID=01390675eaf82ee2603b6c75a5f83f47bcc51cf5"
"226","7.804212","100.64.11.41","162.159.61.3","QUIC","89","Protected Payload (KP0), DCID=01390675eaf82ee2603b6c75a5f83f47bcc51cf5"
"227","7.808916","162.159.61.3","100.64.11.41","QUIC","623","Protected Payload (KP0)"
"228","7.808916","162.159.61.3","100.64.11.41","QUIC","64","Protected Payload (KP0)"
"229","7.808916","162.159.61.3","100.64.11.41","QUIC","70","Protected Payload (KP0)"
"230","7.809213","100.64.11.41","162.159.61.3","QUIC","85","Protected Payload (KP0), DCID=01390675eaf82ee2603b6c75a5f83f47bcc51cf5"
"231","7.809333","100.64.11.41","162.159.61.3","QUIC","85","Protected Payload (KP0), DCID=01390675eaf82ee2603b6c75a5f83f47bcc51cf5"
"232","7.810198","100.64.11.41","142.250.217.138","QUIC","1292","Initial, DCID=f598083069db8b79, PKN: 1, PADDING, PING, PING, PADDING, CRYPTO, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PING, CRYPTO, PING, CRYPTO"
"233","7.810481","100.64.11.41","142.250.217.138","QUIC","124","0-RTT, DCID=f598083069db8b79"
"234","7.810723","100.64.11.41","142.250.217.138","QUIC","557","0-RTT, DCID=f598083069db8b79"
